CPU,%user
11,99.00
all,99.67
0,100.00
1,100.00
2,100.00
3,99.00
4,100.00
5,98.00
6,100.00
7,100.00
8,100.00
9,100.00
10,100.00
11,99.01
all,99.25
0,98.04
1,100.00
2,100.00
3,97.00
4,99.01
5,100.00
6,100.00
7,100.00
8,99.00
9,100.00
10,100.00
11,98.02
all,99.58
0,100.00
1,100.00
2,100.00
3,100.00
4,100.00
5,98.00
6,100.00
7,100.00
8,99.01
9,99.00
10,100.00
11,99.00
all,99.33
0,100.00
1,100.00
2,100.00
3,99.01
4,100.00
5,98.00
6,100.00
7,100.00
8,100.00
9,98.02
10,100.00
11,97.00
all,99.33
0,100.00
1,100.00
2,99.01
3,100.00
4,100.00
5,97.00
6,100.00
7,100.00
8,100.00
9,100.00
10,99.00
11,96.97
all,99.58
0,99.00
1,100.00
2,100.00
3,99.01
4,100.00
5,100.00
6,100.00
7,100.00
8,100.00
9,99.00
10,100.00
11,98.00
all,99.58
0,100.00
1,100.00
2,100.00
3,100.00
4,100.00
5,98.00
6,100.00
7,100.00
8,100.00
9,100.00
10,100.00
11,97.03
all,99.75
0,100.00
1,100.00
2,98.99
3,100.00
4,100.00
5,99.01
6,100.00
7,100.00
8,100.00
9,99.01
10,100.00
11,100.00
all,99.50
0,99.00
1,100.00
2,100.00
3,100.00
4,100.00
5,98.00
6,100.00
7,100.00
8,100.00
9,96.97
10,100.00
11,100.00
all,99.50
0,100.00
1,100.00
2,100.00
3,100.00
4,100.00
5,99.00
6,100.00
7,100.00
8,99.01
9,98.00
10,100.00
11,98.00
all,99.58
0,100.00
1,100.00
2,99.01
3,100.00
4,100.00
5,99.00
6,99.01
7,100.00
8,100.00
9,100.00
10,100.00
11,98.00
all,99.67
0,100.00
1,100.00
2,100.00
3,100.00
4,99.01
5,100.00
6,99.00
7,100.00
8,100.00
9,100.00
10,100.00
11,98.00
all,99.33
0,99.00
1,100.00
2,100.00
3,100.00
4,100.00
5,97.00
6,99.00
7,99.00
8,100.00
9,100.00
10,100.00
11,98.00
all,99.42
0,100.00
1,99.01
2,100.00
3,100.00
4,98.00
5,97.98
6,100.00
7,100.00
8,100.00
9,100.00
10,99.00
11,99.00
all,99.25
0,100.00
1,100.00
2,99.01
3,100.00
4,100.00
5,97.03
6,100.00
7,100.00
8,100.00
9,98.02
10,98.02
11,98.99
all,99.75
0,100.00
1,100.00
2,100.00
3,100.00
4,100.00
5,100.00
6,99.01
7,100.00
8,100.00
9,100.00
10,98.99
11,99.01
all,99.75
0,100.00
1,100.00
2,100.00
3,100.00
4,100.00
5,100.00
6,100.00
7,100.00
8,99.00
9,100.00
10,97.98
11,100.00
all,99.34
0,99.01
1,100.00
2,100.00
3,100.00
4,99.00
5,100.00
6,100.00
7,100.00
8,100.00
9,100.00
10,98.02
11,96.08
all,99.75
0,100.00
1,100.00
2,100.00
3,100.00
4,100.00
5,99.00
6,98.99
7,99.01
8,100.00
9,100.00
10,100.00
11,100.00
all,99.17
0,100.00
1,100.00
2,99.01
3,99.01
4,98.04
5,100.00
6,100.00
7,100.00
8,97.03
9,100.00
10,100.00
11,97.03
all,99.75
0,100.00
1,99.00
2,100.00
3,100.00
4,100.00
5,98.99
6,100.00
7,100.00
8,99.00
9,100.00
10,100.00
11,100.00
all,99.33
